Simulation day,Alive number of animals,Number of plants,Number of empty fields,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Average energy of alive animals,Average age of dead animals
1,50,34,76,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,49.26,0.0
2,50,35,77,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,49.08,0.0
3,50,34,77,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,49.36,0.0
4,50,35,79,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,49.2,0.0
5,50,36,78,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,49.04,0.0
6,50,40,87,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,48.24,0.0
7,50,39,81,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,48.5,0.0
8,50,42,85,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,47.96,0.0
9,50,41,83,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,48.2,0.0
10,50,42,88,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,48.02,0.0
11,50,43,83,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,47.82,0.0
12,50,41,81,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,48.26,0.0
13,50,43,84,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,47.9,0.0
14,50,44,87,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,47.72,0.0
15,50,46,84,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,47.36,0.0
16,50,48,90,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,47.04,0.0
17,50,49,97,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,46.9,0.0
18,50,49,92,2, 6, 2, 5, 2, 5, 0, 4, 7, 3,46.98,0.0
